,price
4935,3478000
19230,1600000
8270,1520000
7304,1093000
18318,1120000
11385,2500000
10981,1643000
10669,1185000
13160,1444000
12282,1928000
17787,1015050
21106,1991000
7094,1500000
3143,840000
13661,1311750
10656,1596000
15014,1557000
16326,1578000
18679,1720071
13477,1988880
9517,2154500
16200,1430000
12401,3063000
22710,1590000
9932,1792500
558,3880000
8565,1142000
14651,1850000
17948,1759000
14066,1740000
19444,2489200
9222,1087000
3682,2745250
23307,1770000
21973,860000
14862,1270000
1455,1310200
9072,1423000
21466,2016154
4333,1960000
4738,6700000
4601,940000
13394,2239000
11588,1525000
15783,1367050
12136,1681000
20356,893600
9250,1168000
18842,1110000
19801,810400
7646,2755789
13904,3701610
20414,1428000
13967,2378970
11550,914000
19160,4857000
3508,1394000
23401,2160000
10163,1175500
15377,1760000
13555,1309770
19419,1620000
16763,1117580
10089,1391000
23294,1450000
21579,1380000
14028,1441000
15764,1287888
13885,2745270
21646,3600000
4450,1240000
5139,3188000
10392,1210000
17971,2923000
21003,1858000
18399,1990000
12557,1638000
821,1126000
11424,1880000
8126,1880000
20961,1658000
8109,2100000
18476,960000
22757,1600000
10536,795000
8042,6368000
1277,1620000
10949,2486000
2194,1280000
10406,802000
19505,1348000
1670,1300000
5427,1450000
6913,1338000
10466,1179500
361,4315000
6864,1399000
12865,2328000
16176,1899000
20033,695360
10425,1770000
14625,2500000
14641,5086318
14682,2750000
11511,3390000
20290,950400
3024,2000000
16068,2538000
21990,1150000
9864,1214000
21390,1136400
12426,2409000
1157,1879000
14530,1750000
2705,1880000
8668,1160000
18759,1641000
460,1230000
23343,2140000
18307,2482000
4387,1280000
11960,1499000
23013,1500000
18288,1708000
17911,1355664
18820,2218400
12107,1538000
18632,1279300
11341,1970000
4501,1300000
11237,1350000
19214,2350000
2938,2130000
487,2677185
19950,692000
3245,1383000
10272,1740500
11465,2228888
14902,1176000
20642,1184000
16360,2088000
21376,1672370
18109,2030000
900,964000
2279,1620000
10398,1166000
10154,4018000
3903,1182000
23113,3399000
21588,3755000
9564,1791000
14040,1576000
7834,2896000
13198,2817000
15056,1052000
22971,710000
13027,1391000
23663,1120000
1647,1630000
14417,2791000
23282,1320000
22124,1380000
15730,1608000
4351,1900000
128,1811100
2932,1650000
18914,3208000
15022,1602000
13973,4720320
10440,2765000
12088,1540000
9989,1453000
2669,4250000
13416,1312000
8028,1698771
22441,1821000
11450,1360000
10818,2044000
18827,1272800
5863,1042700
22830,1500000
12964,1341000
22774,1428000
15201,1364000
12701,1434000
6120,9000000
11904,1328000
11453,1303000
22067,1290000
2626,1200000
7969,3460537
5151,1620000
21642,2823200
6874,1459000
10254,1525500
13505,1786950
12371,2163000
7474,5600000
23539,2000000
12667,1654000
10862,2114000
16979,1278398
9760,2162000
12904,2464000
3187,833000
10008,1456000
10130,1432000
12525,3370000
15171,1767000
2184,1740000
20541,1654000
12347,2813000
4073,1100000
6315,902000
6892,770000
9800,1060000
4128,2800000
13250,5712000
2045,1535000
11356,2180000
21795,2880000
5833,1147600
4770,1592640
17809,1537000
12717,1181000
21423,933300
16409,4510500
10865,2096000
11502,5050000
21225,1007100
1274,2000000
7922,1761190
16439,910000
